MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"90398pb002","Captain America Statuette / Trophy","Super Heroes / Avengers",1,0,"",27.2600,17.1500
"90398pb003","Hawkeye Statuette / Trophy","Super Heroes / Avengers",1,0,"",9.2600,7.8000
"90398pb004c01","Iron Man Statuette / Trophy","Super Heroes / Avengers",1,0,"",,
"90398pb005","Nick Fury Statuette / Trophy","Super Heroes / Avengers",1,0,"",10.3700,8.8000
"90398pb006","SHIELD Agent Statuette / Trophy","Super Heroes / Avengers",8,0,"",2.2100,1.9600
"90398pb007","Ant-Man (Scott Lang) Statuette / Trophy - Original Suit","Super Heroes / Captain America Civil War",0,1,"",4.9200,3.0000
"adv010","Johnny Thunder (Desert)","Adventurers / Desert",0,1,"",4.2700,1.8900
"aqu002","Aquanaut 2","Aquazone / Aquanauts",1,0,"",9.9000,1.7900
"bat008","Killer Croc","Batman I / General",0,1,"",41.1000,22.1800
"btf001","Marty McFly - Red Vest with Pockets, Dark Bluish Gray Arms","Back to the Future / General",1,0,"",20.5900,19.5000
"btf002","Doc Brown - Long Hair, Yellow Coat","Back to the Future / General",1,0,"",21.6700,21.1300
"cas001","Dragon Knights - Dragon Master, Yellow Plumes, Dragon Cape","Castle / Dragon Knights",1,0,"",26.8600,16.6200
"cas013","Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Neck-Protector","Castle / Dragon Knights",2,0,"",7.0600,4.7100
"cas029","Fright Knights - Knight 3, Red Legs with Black Hips, Black Neck-Protector","Castle / Fright Knights",1,0,"",9.1900,3.9700
"cas243","Fright Knights - Knight 1, Black Dragon Helmet, Red Plume","Castle / Fright Knights",1,0,"",20.0000,4.8300
"cas245","Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Chin-Guard, Quiver","Castle / Dragon Knights",1,0,"",11.4800,5.4900
"cas249","Dragon Knights - Majisto Wizard, Black Plastic Cape","Castle / Dragon Knights",1,0,"",11.7200,5.6600
"cas255","Wolfpack - Eye Patch, Brown Arms and Black Legs, Black Hood, no Cape","Castle / Wolfpack",1,0,"",11.6700,7.0800
"cas516","Castle - King's Knight Breastplate with Crown and Chain Belt, Helmet with Neck Protector, Closed Grin with Stubble","Castle / General",1,0,"",7.3300,5.2700
"cas517","Castle - King's Knight Scale Mail, Crown Belt, Helmet with Broad Brim, Open Grin","Castle / General",1,0,"",7.9300,5.6300
"cas518a","Castle - Dragon Knight Scale Mail with Dragon Shield and Shoulder Armor, Helmet with Neck Protector, Angry Scowl","Castle / General",1,0,"",5.9300,4.7300
"cas528","Castle - Dragon Knight Scale Mail with Dragon Shield, Cheek Protection Helmet, Missing Tooth Open Grin","Castle / General",1,0,"",5.4900,4.3700
"cas542","Crusader Lion - Light Bluish Gray Legs, Light Bluish Gray Neck-Protector (Reissue)","Castle / Crusaders",1,0,"",10.0200,6.7800
"col211","Wolf Guy, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",7.1900,4.9100
"col212","Zombie Pirate, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.1600,3.2900
