Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1461-1","Town","Racing",1992,"Turbo Force",1,31,,,,,,,,,,,"",1,1,0,,0,1,,,,,,,,,15.7700,4.6700,"",""
"2871-1","Town","Divers",1997,"Diver and Shark",1,16,,,,,5702010928712,,,,,,"",1,1,0,,0,1,,,,,,,,,26.0100,10.6900,"",""
"4181-1","Pirates of the Caribbean","The Curse of the Black Pearl",2011,"Isla De Muerta",4,152,19.99,19.99,24.99,,5702014734746,673419145008,26.19,19.1,4.6,0.28,"",1,1,0,,0,1,,,,,,,,,127.5000,62.4200,"01/05/2011","31/12/2012"
"4530-1","Marvel Super Heroes","Buildable Figures",2012,"The Hulk",,39,10.99,14.99,17.99,,,673419166591,14.1,26.19,4.8,0.2,"",1,1,0,,0,1,,,,,,,,,43.2400,8.9200,"01/05/2012","31/12/2012"
"4597-1","Marvel Super Heroes","Buildable Figures",2012,"Captain America",,44,10.99,14.99,17.99,,,673419166607,14.1,26.19,4.8,0.2,"",1,1,0,,0,1,,,,,,,,,26.7500,16.0300,"01/05/2012","31/12/2012"
"4852-1","Spider-Man","Original Film",2003,"Spider-Man vs. Green Goblin -- The final showdown",4,360,44.99,50,,,5702014312074,,48,28.8,7.2,,"",1,1,0,,0,1,,,"Yes","Yes",,,,,322.3200,243.0800,"01/10/2003","30/06/2004"
"4866-1","Harry Potter","Prisoner of Azkaban",2011,"The Knight Bus",3,281,29.99,34.99,39.99,,5702014758162,673419149754,28.19,26.19,6.4,0.56,"",1,1,0,,0,1,,"Yes",,,,,,,67.8400,27.2700,"15/06/2011","31/12/2012"
"6027-1","Castle","Fright Knights",1997,"Bat Lord's Catapult",2,55,,6.75,,,,042884060275,14.4,9.6,4.8,,"",1,1,0,,0,1,,,,,,,,,79.0000,19.4400,"01/01/1997","31/12/1998"
"6082-1","Castle","Dragon Knights",1993,"Fire Breathing Fortress",6,397,,64,,,5702010960828,042884060824,,,,,"",1,1,0,,0,1,,,,,,,,,1502.7000,156.6900,"",""
"6145-1","Aquazone","Aquanauts",1996,"Crystal Crawler",1,96,,12,,,,,19.2,14.4,4.8,,"",1,1,0,,0,1,,,,,,,,,121.2500,16.3300,"01/04/1996","31/12/1998"
"6234-1","Pirates","",1991,"Renegade's Raft",1,38,,3.25,,,5702010962341,,,,,,"",1,1,0,,0,1,,,,,,,,,181.4000,11.0500,"",""
"6246-1","Pirates","Islanders",1994,"Crocodile Cage",2,59,,7.25,,,,,,,,,"",1,1,0,,0,1,"Yes",,,,,,,,129.0000,22.3100,"",""
"6247-1","Pirates","Imperial Guards",1992,"Bounty Boat",3,36,,4.75,,,,042884062477,,,,,"",1,1,0,,0,1,,,,,,,,,80.0000,21.0400,"",""
"6277-1","Pirates","Imperial Guards",1992,"Imperial Trading Post",9,608,,85,,,,042884062774,,,,,"",1,1,0,,0,1,,,,,,,,,1500.0000,497.4400,"",""
"6512-1","Town","Construction",1992,"Landscape Loader",1,37,,3.25,,,5702010965120,,9.5,7.1,4.5,,"",1,1,0,,0,1,,,,,,,,,34.8200,4.5100,"",""
"6646-1","Town","Racing",1991,"Screaming Patriot",1,65,,6.75,,,5702010966462,042884066468,,,,,"",1,1,0,,0,1,,,,,,,,,69.0700,5.8600,"",""
"6662-1","Town","Construction",1992,"Backhoe",1,85,,7.25,,,5702010966622,,,,,,"",1,1,0,,0,1,,"Yes",,,,,,,63.8700,12.3000,"",""
"6812-1","Space","Blacktron 2",1991,"Grid Trekkor",1,25,,,,,5702010968121,,,,,,"",1,1,0,,0,1,,,,,,,,,23.4800,10.7900,"",""
"6813-1","Space","Space Police 2",1993,"Galactic Chief",1,24,,3,,,5702010968138,,,,,,"",1,1,0,,0,1,,,,,,,,,62.9900,9.9300,"",""
"6836-1","Space","UFO",1997,"V-Wing Fighter",1,40,,4,,,,,14.4,9.6,4.8,,"",1,1,0,,0,1,,,,,,,,,30.0000,11.0500,"01/09/1997","31/12/1998"
"6865-1","Marvel Super Heroes","The Avengers",2012,"Captain America's Avenging Cycle",3,72,11.99,12.99,15.99,,5702014842397,673419168434,19.1,14.1,4.6,0.11,"",1,1,0,,0,1,,,,,,,,,29.1400,13.5000,"01/05/2012","31/07/2013"
"6866-1","Marvel Super Heroes","X-Men",2012,"Wolverine's Chopper Showdown",3,199,19.99,19.99,24.99,,5702014842403,673419168441,26.2,19.1,6.1,0.34,"",1,1,0,,0,1,,,,,,,,,161.8200,81.7900,"01/05/2012","31/12/2013"
"6868-1","Marvel Super Heroes","The Avengers",2012,"Hulk's Helicarrier Breakout",4,389,49.99,49.99,64.99,,5702014842427,673419168465,48,28.2,6.1,0.87,"£20-30",1,1,0,,0,1,,,"Yes",,,,,,82.8300,48.1600,"01/05/2012","31/12/2013"
"6869-1","Marvel Super Heroes","The Avengers",2012,"Quinjet Aerial Battle",5,735,69.99,69.99,89.99,,5702014842434,673419168472,48,37.8,7.1,1.43,"",1,1,0,,0,1,,,,,,,,,99.8100,65.3400,"01/05/2012","31/12/2013"
"6913-1","Creator","3 in 1",2012,"Blue Roadster",,152,9.99,14.99,17.99,,5702014838154,673419167154,26.2,14.1,4.8,0.27,"",1,1,0,,0,1,,"Yes",,,,,,,16.4300,5.2800,"01/01/2012","31/12/2013"
"7784-1","Batman","",2006,"The Batmobile: Ultimate Collectors' Edition",,1045,49.99,70,,,5702014475373,673419081603,48,38.4,9.6,1.98,"",1,1,0,,0,1,,,,,,,,,338.2200,145.6000,"01/06/2006","31/12/2007"
"7886-1","Batman","",2008,"The Batcycle: Harley Quinn's Hammer Truck",2,267,29.99,29.99,,,,673419102018,38.4,28.8,7.2,0.64,"",1,1,0,,0,1,"Yes",,,"Yes",,,,,290.0000,118.6500,"01/06/2008","31/12/2008"
